Temperature,Humidity,Light,CO2,HumidityRatio,Occupancy
20.2,33.0,0.0,444.0,0.0048339082621864,0
22.1666666666667,21.4633333333333,518.0,898.0,0.0035400689608168,1
20.2,21.2,0.0,439.0,0.0030968140539317,0
19.7,19.5,0.0,452.0,0.0027600925770484,0
19.89,26.6,0.0,441.0,0.0038161342109962,0
21.1,19.79,0.0,517.0,0.0030555340335067,0
21.7,37.045,0.0,1585.0,0.0059614690691863,0
20.39,32.9,0.0,514.0,0.0048765158292672,0
20.6,20.7,0.0,460.0,0.00309941018839,0
20.5,33.59,0.0,650.0,0.0050138106150364,0
22.1,26.29,454.0,1031.33333333333,0.0043239912310643,1
23.0666666666667,29.8566666666667,464.0,1247.25,0.0052149047414537,1
20.89,24.978,435.0,727.6,0.003811692228034,1
20.29,22.79,0.0,438.5,0.0033490017585182,0
20.2,23.39,0.0,439.0,0.0034184789791795,0
19.5,26.79,0.0,470.0,0.003751051174818,0
20.29,22.7,0.0,441.5,0.0033357052871784,0
22.1,27.1,0.0,562.0,0.0044581691122164,0
20.7675,25.0,0.0,514.75,0.003786238922116,0
20.6,35.2,0.0,1008.0,0.0052889556637623,0
20.245,23.05,0.0,441.0,0.0033779560481055,0
19.29,26.1,0.0,467.0,0.0036061541641287,0
20.87,24.978,0.0,537.2,0.0038069761284953,0
20.6,22.2,0.0,450.25,0.0033252058118989,0
19.6333333333333,19.4266666666667,31.0,454.333333333333,0.0027382560181421,0
19.29,31.5,0.0,433.0,0.0043574819083188,0
20.0,18.73,0.0,436.333333333333,0.0027006322681345,0
20.865,19.7675,433.0,646.0,0.0030080554770287,1
20.29,22.79,0.0,439.0,0.0033490017585182,0
19.29,30.6,17.3333333333333,430.0,0.0042321353212692,0
21.2,25.2,465.25,762.75,0.0039202041885661,1
22.1,21.77,499.0,924.0,0.0035762995384961,1
23.6,27.34,524.25,950.0,0.0049293610654639,1
20.5,28.8233333333333,265.0,423.666666666667,0.0042973984901744,0
20.89,22.79,0.0,473.0,0.0034759331976165,0
19.79,19.2,0.0,437.0,0.0027327330336943,0
20.79,22.7,0.0,468.75,0.0034407705553688,0
21.9175,21.315,469.0,879.0,0.0034621613202575,1
19.5,27.55,0.0,447.0,0.0038581240284089,0
19.5,27.6,0.0,454.0,0.0038651695797575,0
22.912,30.29,461.0,1301.0,0.0052415106406443,1
20.0,19.29,119.5,450.75,0.0027817383916236,0
20.7,24.64,0.0,479.6,0.00371581599429,0
19.39,31.1,0.0,436.666666666667,0.0043288199558765,0
21.7,27.0,0.0,528.5,0.004333714055788,0
22.89,26.1,584.5,1000.0,0.0045051449682544,0
20.7,24.6,0.0,478.5,0.003709747848257,0
22.9725,25.39,693.75,970.0,0.0044038312499674,1
22.2225,28.3675,474.5,1012.0,0.0047034816263411,1
21.025,23.7225,412.0,585.75,0.0036493286704895,1
20.89,24.934,0.0,552.4,0.0038049366666907,0
20.6,22.2,0.0,454.0,0.0033252058118989,0
19.5,26.7,0.0,463.0,0.0037383739208854,0
19.5,26.5,0.0,472.0,0.0037102040844392,0
20.2,19.1,0.0,455.0,0.0027886788419793,0
20.76,22.39,0.0,455.0,0.0033872286981476,0
22.2,27.5166666666667,549.333333333333,1110.83333333333,0.004555082884035,1
20.1333333333333,33.0,0.0,448.333333333333,0.0048138588401066,0
19.39,26.8233333333333,0.0,459.666666666667,0.0037299795251726,0
21.2,25.1633333333333,444.0,752.666666666667,0.0039144642904838,1
21.39,24.26,439.0,755.333333333333,0.0038175816924074,1
19.26,30.5666666666667,13.0,433.333333333333,0.0042195474149087,0
22.0,37.6633333333333,439.0,1815.5,0.0061751370891,1
